@relation data

@attribute pr_all1 numeric
@attribute pr_root numeric
@attribute pr_high numeric
@attribute class {1,0}

@data
6.73177e-06, 1.26567e-05, 2.52137e-06, 0
6.95388e-06, 3.7878e-06, 6.04934e-06, 1
6.55451e-06, 3.93404e-06, 3.10222e-06, 0
7.35235e-06, 5.15947e-06, 8.83628e-06, 0
7.1204e-06, 9.53089e-06, 1.50118e-06, 0
8.23499e-06, 6.21262e-06, 1.55964e-06, 0
6.55805e-06, 7.41931e-06, 1.1655e-06, 0
9.72704e-06, 5.55817e-06, 3.45584e-06, 0
7.2322e-06, 3.62629e-06, 2.51526e-07, 0
7.438e-06, 4.08937e-06, 3.84116e-06, 0
6.31138e-06, 1.2481e-06, 5.47224e-06, 0
9.40735e-06, 7.64507e-06, 3.42254e-07, 0
1.05149e-05, 1.37228e-06, 1.08696e-05, 0
9.45377e-06, 8.05078e-06, 2.97524e-07, 0
9.04693e-06, 4.93894e-06, 8.90732e-07, 0
6.34324e-06, 7.64507e-06, 2.35184e-06, 0
7.97956e-06, 1.16721e-05, 2.33606e-06, 0
7.65652e-06, 2.52536e-06, 2.13317e-06, 0
6.35601e-06, 4.71955e-06, 4.34172e-06, 0
6.59437e-06, 6.14961e-06, 4.04955e-06, 0
7.2322e-06, 7.69298e-06, 8.95821e-06, 0
8.12928e-06, 3.4886e-06, 3.05256e-05, 0
6.02555e-06, 1.2481e-06, 2.88088e-06, 0
7.25119e-06, 6.79555e-06, 2.51526e-07, 0
8.20416e-06, 1.2481e-06, 2.51526e-07, 0
8.20416e-06, 1.91019e-06, 2.97524e-07, 0
7.27854e-06, 4.14948e-06, 3.20672e-06, 0
5.77616e-06, 3.45249e-05, 8.20578e-05, 1
1.17281e-05, 3.42121e-05, 4.1614e-06, 0
6.93839e-06, 3.87441e-06, 7.32218e-06, 0
7.3727e-06, 4.73659e-06, 4.08423e-06, 0
7.12326e-06, 3.52467e-06, 2.11429e-06, 0
6.88204e-06, 9.88707e-06, 2.69473e-06, 1
6.21765e-06, 5.02059e-06, 7.13096e-06, 0
9.40735e-06, 4.93632e-06, 6.3371e-06, 0
1.65932e-05, 2.05688e-06, 3.42254e-07, 0
1.22618e-05, 4.01427e-06, 5.08298e-06, 0
8.19385e-06, 1.93925e-05, 9.96296e-06, 0
7.80206e-06, 7.60406e-06, 1.18676e-05, 0
7.40007e-06, 4.32485e-06, 4.68182e-06, 0
7.38332e-06, 3.32173e-06, 3.11243e-06, 0
6.2866e-06, 5.71316e-06, 1.48838e-06, 0
1.3354e-05, 8.05303e-06, 2.88088e-06, 0
6.50073e-06, 3.24945e-06, 3.27293e-06, 0
1.21654e-05, 6.79555e-06, 2.44124e-06, 0
7.98421e-06, 2.65465e-06, 7.62116e-06, 0
1.18813e-05, 3.76661e-06, 3.6538e-06, 0
7.80206e-06, 9.35774e-06, 2.8268e-06, 0
7.0293e-06, 2.88082e-06, 3.19637e-06, 0
7.34554e-06, 2.0338e-05, 5.21118e-07, 1
7.49177e-06, 2.65465e-06, 2.62829e-06, 0
6.63413e-06, 3.5737e-06, 1.74022e-06, 0
1.34982e-05, 8.42113e-06, 3.5193e-06, 0
7.05969e-06, 1.58179e-05, 2.91985e-06, 0
7.61655e-06, 5.33022e-06, 1.47389e-06, 0
