@relation data

@attribute common numeric
@attribute adamic numeric
@attribute jaccards numeric
@attribute class {1,0}

@data
2, 0.135282902211, 0.00280112044818, 1
2, 0.125577815144, 0.00280112044818, 0
1, 0.140100622008, 0.00280112044818, 0
1, 0.151382071392, 0.00280112044818, 0
2, 0.146123110929, 0.00280112044818, 0
1, 0.301229856057, 0.00560224089636, 1
1, 0.143082775873, 0.00280112044818, 0
1, 0.158398126613, 0.00280112044818, 0
1, 0.162822334828, 0.00280112044818, 1
1, 0.142136683835, 0.00280112044818, 1
1, 0.149318506904, 0.00280112044818, 0
1, 0.133204077205, 0.00280112044818, 0
1, 0.147078448673, 0.00280112044818, 0
1, 0.170429335941, 0.00280112044818, 0
2, 0.135282902211, 0.00280112044818, 0
1, 0.343724836829, 0.00560224089636, 0
1, 0.133019915835, 0.00280112044818, 0
1, 0.13849283458, 0.00280112044818, 0
1, 0.135530257417, 0.00280112044818, 0
1, 0.136167794257, 0.00280112044818, 0
